編號,原文,臺灣用語,大陸用語,其他用語,
494,electronic binary multipling computer,電子二進制乘法計算機,,,
495,electronic blackboard,電子黑板,,,
496,electronic brain,電腦,,,
497,electronic building brick,電子組件,,,
498,electronic bulk memory,大容量電子記憶體,,,
499,electronic bulletin board,電子佈告欄,,,
500,electronic calculating punch,電子計算打孔機,,,
501,electronic calculator,電子計算器,,,
502,electronic calendar,電子日曆,,,
503,electronic cash register,電子收銀機,,,
504,electronic charge,電荷,,,
505,electronic cipher machine,電子密碼機,,,
506,electronic circuit,電子電路,,,
507,electronic circuit analog program,電子電路類比程式,,,
508,electronic circuit analysis program,電子電路分析程式,,,
509,electronic circuit packaging,電子電路封裝,,,
510,electronic circuitry,電子電路學,,,
511,electronic clock,電子鐘,,,
512,electronic codebook operation,電子編碼本操作,,,
513,electronic coder,電子編碼器,,,
514,electronic commerce,電子商務,電子商務 ,,
515,electronic communications,電子通訊學,,,
516,electronic component,電子組件,,,
517,electronic composition,電子合成,,,
518,electronic computer,電子計算機,電子計算機, *電腦 ,,
519,electronic computer center,電子計算機中心,,,
520,electronic computer originated mail,電子計算機導向的郵件,,,
521,electronic computer system,電子計算機系統,,,
522,electronic conference,電子會議,,,
523,electronic conference system,電子會議系統,,,
524,electronic control,電子控制,,,
525,electronic counter counter measures,電子反反制,,,
526,electronic counter measure computer,電子反制計算機,,,
527,electronic counter measures satellite,電子反制衛星,,,
528,electronic counter measures,電子反制,,,
529,electronic counter,電子計數器,,,
530,electronic cut and paste,電子式剪貼,,,
531,electronic data,電子資料,電子資料,,
532,electronic data acquisition,電子資料獲取,,,
533,electronic data exchange,電子資料交換,,,
534,electronic data image,電子資料影像,,,
535,electronic data Interchange,電子資料交換,電子數據交換 ,,
536,electronic data interchange,電子資料交換,,,
537,electronic data processing machine,電子資料處理機,,,
538,electronic data processing management science,電子資料處理管理科學,,,
539,electronic data processing memory thinfilm,電子資料處理記憶薄膜,,,
540,electronic data processing system,電子資料處理系統,,,
541,electronic data processing,電子資料處理,,,
542,electronic data processor,電子資料處理機,,,
543,electronic data switching center,電子資料交換中心,,,
544,electronic data switching system,電子資料交換系統,,,
545,electronic decision maker,電子決策裝置,,,
546,electronic design automation,電子設計自動化,電子設計自動化 ,,
547,electronic design interchange format,電子設計交換格式,,,
548,electronic design rule,電子設計規則,電子設計規則 ,,
549,electronic desk calculator,電子桌上計算器,,,
550,electronic detent,電子掣動,,,
551,electronic device,電子裝置,,,
552,electronic dictionary,電子字典,,,
553,electronic differential analyzer,電子微分分析器,,,
554,electronic discrete sequential automatic computer,電子離散順序自動計算機,,,
555,electronic discrete variable automatic computer,電子離散可變自動計算機,,,
556,electronic distribution,電子式分送,,,
557,electronic divider,電子除法器,,,
558,electronic document,電子文件,,,
559,electronic document delivery systems,電子文件遞送系統,,,
560,electronic document distribution,電子文件分配,,,
561,electronic document system,電子文件系統,,,
562,electronic drafting machine,電子製圖機,,,
563,electronic ear,電子耳,電子耳 ,,
564,electronic editing,電子編輯,,,
565,electronic editor,電子編輯器,,,
566,electronic emission,電子放射,,,
567,electronic engineering,電子工程,,,
568,electronic equipment,電子設備,,,
569,electronic exchange,電子交換,,,
570,electronic eye,電眼,,,
571,electronic failure report,電子故障報告,,,
572,electronic filing,電子歸檔,,,
573,electronic filing system,電子歸檔系統,,,
574,electronic form,電子表格,,,
575,electronic form system,電子表格系統,,,
576,electronic format control,電子格式控制,,,
577,electronic function generator,電子函數產生器,,,
578,electronic funds transfer at point of sale,在銷售點上的電子資金傳送,,,
579,electronic funds transfer system,電子轉帳系統,電子資金轉賬系統 ,,
580,electronic funds transfer,電子轉帳,,,
581,electronic ground support equipment,地面電子支援設備,,,
582,electronic hash,電子散列,,,
583,electronic image,電子影像,,,
584,electronic image generator,電子影像產生器,,,
585,electronic image management system,電子影像管理系統,,,
586,electronic industries association,電子工業協會,,,
587,electronic industries standard code,電子工業標準碼,,,
588,electronic information,電子資訊,,,
589,electronic information exchange,電子資訊交換,,,
590,electronic information exchange system,電子資訊交換系統,,,
591,electronic instrument,電子儀器,,,
592,electronic intelligence,電子情報,電子情報 ,,
593,electronic interface integrated validation,電子介面設備整合驗證,,,
594,electronic interface unit,電子介面單元,,,
595,electronic interface,電子（設備）介面；電子（設備）界面,,,
596,electronic interference,電子干擾,,,
597,electronic invoicing machine,電子開發票機,,,
598,electronic jamming,電子干擾,,,
599,electronic journal,電子期刊,電子雜志 ,,
600,electronic keyboard,電子鍵盤,,,
601,electronic keyboard system,電子鍵盤系統,,,
602,electronic keying,電子鍵控,,,
603,electronic knowledge,電子知識,,,
604,electronic label reader,電子標號閱讀機,,,
605,electronic launching equipment,電子發射設備,,,
606,electronic library,電子圖書館,電子圖書館 ,,
607,electronic library search,電子圖書館搜尋,,,
608,electronic line printer,電子列印機,,,
609,electronic line scanning,電子行掃瞄,,,
610,electronic lock,電子鎖,,,
611,electronic machine tool control,電子機工具控制,,,
612,electronic mail and message system,電子郵件及訊息系統,,,
613,electronic mail network,電子郵件網路,,,
614,electronic mail service,電子郵件服務,,,
615,electronic mail subsystem,電子郵件子系統,,,
616,electronic mail system,電子郵件系統,,,
617,electronic mail,電子郵件,電子函件;電子郵件,,
618,electronic mailbox,電子信箱,,,
619,electronic maildrop,電子郵箱,,,
620,electronic mailing,電子郵遞,,,
621,electronic management system,電子管理系統,,,
622,electronic market,電子市場,電子市場 ,,
623,electronic materials information services,電子材料資訊服務,,,
624,electronic media,電子媒體,電子媒體 ,,
625,electronic meeting system,電子會議系統,電子會議系統 ,,
626,electronic message,電子訊息,,,
627,electronic message service system,電子訊息服務系統,,,
628,electronic message service,電子訊息服務,,,
629,electronic message system,電子訊息系統,,,
630,electronic messaging,電子訊息處理,電子消息處理 ,,
